Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Heretaunga-Silverstream","Total people, usual residence five years ago","Total people, age group","Total people, sex",3591,
"Cloustonville","Total people, usual residence five years ago","Total people, age group","Total people, sex",408,
"Mangaroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1695,
"Glendale","Total people, usual residence five years ago","Total people, age group","Total people, sex",3804,
"Parkway","Total people, usual residence five years ago","Total people, age group","Total people, sex",3138,
"Fernlea","Total people, usual residence five years ago","Total people, age group","Total people, sex",1971,
"Arakura","Total people, usual residence five years ago","Total people, age group","Total people, sex",2448,
"Homedale West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2463,
"Homedale East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2928,
"Pencarrow","Total people, usual residence five years ago","Total people, age group","Total people, sex",546,
"Tawhai","Total people, usual residence five years ago","Total people, age group","Total people, sex",3345,
"Holborn","Total people, usual residence five years ago","Total people, age group","Total people, sex",2067,
"Delaney","Total people, usual residence five years ago","Total people, age group","Total people, sex",2415,
"Manuka","Total people, usual residence five years ago","Total people, age group","Total people, sex",1707,
"Taita North","Total people, usual residence five years ago","Total people, age group","Total people, sex",2610,
"Taita South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2928,
"Avalon East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2334,
"Naenae North","Total people, usual residence five years ago","Total people, age group","Total people, sex",4659,
"Naenae South","Total people, usual residence five years ago","Total people, age group","Total people, sex",3528,
"Avalon West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2466,
"Boulcott","Total people, usual residence five years ago","Total people, age group","Total people, sex",2484,
"Epuni West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3018,
"Epuni East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2874,
"Waterloo West","Total people, usual residence five years ago","Total people, age group","Total people, sex",879,
"Waterloo East","Total people, usual residence five years ago","Total people, age group","Total people, sex",4242,
"Waiwhetu North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1359,
"Waiwhetu South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2601,
"Gracefield","Total people, usual residence five years ago","Total people, age group","Total people, sex",60,
"Moera","Total people, usual residence five years ago","Total people, age group","Total people, sex",1533,
"Woburn North","Total people, usual residence five years ago","Total people, age group","Total people, sex",1299,
"Woburn South","Total people, usual residence five years ago","Total people, age group","Total people, sex",390,
"Hutt Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3954,
"Melling","Total people, usual residence five years ago","Total people, age group","Total people, sex",645,
"Alicetown","Total people, usual residence five years ago","Total people, age group","Total people, sex",1971,
"Normandale","Total people, usual residence five years ago","Total people, age group","Total people, sex",2052,
"Maungaraki","Total people, usual residence five years ago","Total people, age group","Total people, sex",3777,
"Tirohanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",1164,
